itemname,contents
부드러운 닭가슴살 콥 샐러드,"닭가슴살이 촉촉하고 메추리알에 콩까지 있어서 먹으면 든든해요. 양파마요네즈드레싱이랑 부드럽게 어울리네요. 보통 닭가슴살은 좀 퍽퍽한데 이 샐러드 닭은 이름처럼 부드럽네요.
"
해초 전복죽 (1인분),"6살, 4살 아이들도 너무 맛있다고 더 달라고 하네요. 
또 구매할 의사 있어요~"
건강한 자장소스,냉동이라 ~ 아이들 식사 준비 어려울때 언제든 먹을수 았고 아이들이 너무 맛있게 먹어서 좋아요~♥
문어 카르파쵸 샐러드,"문어도 쫄깃쫄깃 식감 좋고
상콤하니 입맛도 돋아주고
이래서 비싼샐러드 먹는구나하는 느낌이랄까
야채구성이나 양이나 너무 좋아요"
건강한 자장소스,"기대이상으로 맛있네요~
야채의 종류나 양도 많아서 건강하게 잘먹었습니다~
양은 둘이 먹으니 넉넉했어요~"
인도식 견과 커리 세트,"카레에 토마토가 들어가서인지 맛있었어요~~
셀러리 피클은  제 입엔 안맞았어요
그래도 닭고기랑 전체적으로 조화로웠어요 ~^^"
당귀 제육볶음 세트,"제육볶음 맛있게 먹었어요~~
또이용할꺼같아요 ~~~
굿 굿~~~"
지중해식 가자미구이 세트 ,"가자미구이는 맛있는데
가시가 많아서 조금 아쉬웠고
피클은 제 입엔 찬으로는 안맞았어요~"
오리 향채소 불고기 세트,"맛있어요! 샐러드랑 너무 신선하고
오리고기 넘 맛있어요~~~~~"
영양부추 잡채,"맛있어요~~
맛도 좋고 부추와 당면 식감이 좋네요 ~~~"
용안육 백태콩조림,"보기보다 달달해서 아이들도 좋아할 것 같아요, 콩 뿐 아니라 용안육이 들어가있어서 다채롭고 양도 많은 편이에요"
봄나물 오리볶음,양도 혜자에 봄나물 향도 좋고 간도 적당해요! 2명이서 먹을 수 있는 정도의 양이에요. 
버섯 소불고기 쌈 세트,"깨끗하고 싱상한 쌈채소를 먹을 수 있어서 좋았습니다.
쌈 양이 조금만 더 많았으면 좋겠습니다^^"
봄나물 오리볶음,"생각보다 봄나물향이 안나서 아쉬웠어요 
사진 이미지와 조금 달랐지만 맛있었어요"
해초 전복죽 (1인분),전복도 많이 들어있고 부드럽고 맛도 좋아 15개월 아기도 잘 먹고 있어요~^^
오삼불고기,재료도 모두 신선하고 양도 적당합니다. 한 끼 메인 음식으로 먹어도 손색이 없습니다. 오징어와 삼겹살도 부드럽고 간도 적당하니 맛있습니다. 
용안육 건오징어조림,"오징어도 부드럽고 질기지 않아 좋구요, 간도 적당하니 밑반찬으로 먹기 딱 좋습니다. 자주 이용할 것 같아요.. 만족합니다.."
유근피 녹두 삼계죽 (1인분),"냉동실에 보관해 두었다가 꺼내서 전자렌지 돌리니 맛도 있고 편하고 좋습니다. 무엇보다 건강해지는 느낌이라 좋구요, 10살 아들도 맛있다고 잘 먹네요.. 양은 아침으로 간단하게 딱 한끼 먹기 좋습니다.  "
유부 유산슬 세트,제가 먹은게 유부가 들어간 유산슬이 맞는지 모르겠습니다. 유부 특유의 식감이 없어서 아쉬웠습니다
비트 생깻잎지,"양이 많지 않지만, 밑반찬으로 먹기 딱 좋습니다. 비트가 들어가 색감도 좋고, 그동안 먹었던 깻잎지랑은 약간 새로운 맛이네요.. 건강해지는 느낌이라 기분도 좋네요~~ "
황태 귀리죽 (1인분),"그동안 먹어보지 않은 메뉴라 맛이 궁금했는데, 생각보다 맛있습니다. 전자렌지에 돌려서 들기름 뿌려 먹으니 고소하고 맛있고, 기대이상으로 만족합니다. "
리코타 허브감자 샐러드,"일단 치즈 양이 많아서 대만족입니다. 생야채도 골고루 여러가지에 신선하고, 견과류부터 드레싱까지 뭐 하나 빠지는게 없이 다 마음에 쏙 듭니다.  한끼 식사로도 부족함이 없습니다. 다음에 또 구매할께요~~"
부드러운 닭가슴살 콥 샐러드,"재료도 다 신선하고 양도 많고, 샐러드에 들어간 식재료 종류도 여러가지라 너무 만족합니다.  맛도 있고, 건강도 챙길 수 있어서 너무 좋네요!! 닭가슴살, 아보카도 양도 많고, 견과류부터 모든 재료에 정성이 들어가 있는 느낌이라 대만족입니다 ^^ "
스파이시 쉬림프 샐러드,"샐러드 야채 양도 많고, 야채와 부재료 종류도 여러가지에 너무 만족합니다.  새우양도 많고 매콤하니 맛있어서 재구매하고 싶습니다. 2명이 반찬으로 같이 먹기 딱 좋은 양입니다. "
비트 생깻잎지,ㅎㅎㅎㅎㅎㅎㅎㅎㅎ이 가게 깻잎 반찬 잘하네 ㅎㅎㅎㅎㅎㅎㅎ
비트 생깻잎지,4인가족 한끼 식사정도의 양이며 간이 쎄지 않고 맛있었습니다. 
유근피 녹두 삼계죽 (1인분),"다른죽에 비에 되직하며 다른죽과 용량은 같으나
다른죽은 좀 부족한듯 비해 삼계죽은 먹고 난후 든든했습니다. 
녹두가 들어가 더욱 좋았습니다. "
가쓰오 계란장조림,"계란을 잘라서 간장을 적셔 먹었습니다. 
맛있습니다. "
낙지 김치죽 (1인분),"죽이 너무 묽었습니다. 
물론 레인지w에 따라 다르겠지만....
그냥 물과 낙지를 씹는듯한 느낌이였습니다. 
거기에 그냥 좀 맵기만 한듯합니다. "
귀리캐슈넛샐러드,닭고기가 너무 냄새가  심해서 버렸어요..왠만하면  참고 먹으려고 했는데  견딜수가  없을 정도입니다..
해초 전복죽 (1인분),"신선하니 고소하니 맛있어요~~
또 주문할꺼에요! ~~~~~
다양한메뉴 부탁드려요~"
건강한 자장소스,"간편하고 맛있어요!
재료들이 신선해요 ~~~
굿 굿 ~~~"
토마토 견과 카레소스,"웰니스도시락에 들어있는데 맛있어서 따로 시켰어요~
도시락에서처럼 닭가슴살 익혀서 넣었더니
더 맛있어요 :)
양도 많아서 3인분정도 되는 것 같네요~"
토마토 견과 카레소스,"카레가 카레지라는 생각으로 주문했다가 깜짝놀랐네요..
일반 시중에 파는 카레랑은 비교도 안되네요! 
양도 많아서 3명이서 배불리 먹었습니다:)
담엔 사서 인도식으로 난?에 찍어 먹어봐야겠어요ㅎㅎ 
 "
비트 생깻잎지,"비트랑 깻잎이랑 무슨 조합인가 했는데 신선하네요ㅎ 
그리팅 깻잎 먹다가 일반 깻잎은 너무 짜서 못먹겠어요ㅠ
한개 맛보고 냉장고 넣으려다가 계속 집어 먹었네요ㅎㅎ....  "
멕시칸 타코 샐러드 세트,"라이트식단 신청자입니다 ㅎ 
우선 타코샐러드..이름 자체가 샐러드러버들한테 넘 유혹적이네요
상품설명서대로 데워 먹으니 요리같고 더 맛있게 먹었어요~ 저 후무스(?)도 고소하고 넘 맛나네요ㅠㅠ 
단품으로 따로 사먹고 싶을 정도에요......"
닭가슴살 콥샐러드 세트,"웨딩 앞두고 있는 신부입니다
처음엔 채소거리 사서 집에서 해먹었는데,,,하루이틀도 아니고 귀찮아져서 라이트식단 시켜봤어요 ㅎ
우선 채소가 너무 싱싱해서 놀랐고, 일반 체인에서 파는 샐러드보다 가격도 저렴해서 대만족입니다.!
웨딩 디데이 남은분들 강력추천해요~"
유근피 녹두 삼계죽 (1인분),"요즘 할머니가 소화불량으로 고생하셨는데
죽 선물해드리니 너무 좋아하셨어요 ㅎㅎ 
해초전복죽이랑 같이 배송드렸는데 탁월한 선택이였습니다ㅎ
유근피가 좀 생소하지만...몸에 좋은 재료라하니 믿음이 가네요 ㅎ
반찬도 주문해봐야 겠어요!
"
통밀 간장 닭강정,"닭고기는 가공품들이 비린맛이 있어서 꺼려지는데
그런 느낌없이 맛잇게 먹었어요
"
고사리 소불고기 숙쌈 세트,"당지수때문에 식단 신경쓰는 사람인데 그리팅 덕분에 끼니 구성이 쉽네요 ㅎㅎ 선비콩밥을 해서 곁들이니 정말 잘어울리네요~ 저 데친 케일은 써서좀 먹기 힘들었지만 바나나쌈장덕분에 다 먹을수 있었어요~ 쌈장도냉동으로 별도판매  해주시길 요청합니다~
고사리소고기 볶음은 초등 아들이 참 좋아하네요 요것도반찬판매 해주세요 ㅎㅎ
큰 접시에 저렇게 담아서 먹으니 풍성해 보이네요~ "
낙지 김치죽 (1인분),"여기 죽은 정말 대박인 것 같아요~!! 거의 매주 한번 이상은 본죽 따로 사먹을 정도로 일상죽을 많이 먹는데, 여기꺼는 엄청 자극적이지도 않고 먹고나서도 얼굴도 안붓고(이건 첨가물 많이 안넣어서 그런듯?) 진짜 요래조래 대박상품인듯. 다른죽도 더 만들어줬으면.. "
씨푸드 레몬 샐러드,"새벽 배송으로 받고 출근하면서 챙겨서 나왔어요~ 요즘 너무 속이 더부룩해서.. 점심시간에 먹었는데  생각보다 양이 많아서 꽤 든든했어요. 드레싱이 상큼해서 어? 뭐지? 했는데, 직접 만든거라니!!! 더 신뢰가 갑니다~~ "
송화버섯 낙지볶음,"집에서 반찬 해먹기 귀찮아서~ 주문했는데, 남편도 저도 만족한 반찬이에요! 사진보니까 영양성분 꽉 채운 송화버섯도 많이 들어가서 더 건강해지는 느낌!  비록 내가 만든 반찬이 아니지만.. 남편한테 덜 미안한ㅎㅎ저녁식사였어요! 앞으로 더 맛있는거 많이 만들어 주세요~~~ "
해초 전복죽 (1인분),"생각보다 기대 이상이라서 별 다섯개 줌. 시중에서 파는 전복죽보다 전복량도 많고, 해초 들어가서 비릴줄 알았는데 은근 맛있음. 냉동이라서 밥 해먹기 싫을때 간편하게 먹으려고 오늘 또 추가 주문함. 무엇보다 포장 뜯었는데 비닐 위에 들기름 있어서 대박 감동이었음. "
닭다리살구이,"마늘 양념도 맛있고 
매울줄 알았는데 아이들도 잘 먹네요
대추가있어서 달달하기도 하고 

렌지업으로 빠르게 먹을 수 있어서 편하기도 했어여"
돼지감자 장아찌,"돼지감자 처음 먹어보는데 
식감이 아삭아삭하네요 

돼지감자 말고도 오이랑마늘쫑이랑 고추랑 
여러가지 들어있어서 좋아여"
용안육 건오징어조림,"밑반찬으로 좋아요
양념이랑 건오징어랑 야채들이랑 잘 어울려여"
통밀 돈까스,"평소 위장이 안좋아 배가 자주 아픔에도 불구하고
밀가루 음식을 자제할 수 없는 저로서 밀가루 대신 통밀을 사용했다는 이 돈까스는 너무 반가운 음식이었습니다!!ㅎㅎ

냉동된 돈까스 2개와 소스2개가 함께 포장되어왔습니당
사실 맛에 대한 기대는 크게 하지 않았는데 너무 맛있었어요ㅎㅎ
후라이팬에 기름을 부어 간편하게 조리해먹을 수 있었고 
표면이 노릇노릇하게 구워져서 보기에도 먹스러웠습니당~
통밀도 얇게 펴발라져있어 두터운 튀김의 거북함이 없었어요!
소스는 시중 판매되는 돈까스 소스처럼 자극적인 맛이 아니어서 좋았어요! 또한 소스를 듬뿍 찍어먹기를 좋아하는 저에게 너무나도 충분한 양의 소스여서 좋았습니다

또 구매하게 될 것 같아요~ㅎㅎ
"
송화버섯 낙지볶음,"송화버섯이랑 낙지가 큼직큼직하게 가득 들어가 있어서 씹는 맛도 좋고, 너무 만족스러웠어요. 양념도 맵지도 않고 딱 좋고, 양도 넉넉해서 가족끼리 나눠먹어도 충분하네요. "
용안육 백태콩조림,쉽게 접하지 못하는 식재료로 구성된 것 같아서 시켜봤는데 쫄깃한 용안육이랑 백태콩 궁합이 좋네요. 조림장도 구기자간장소스를 쓴다고 써있던데 짜지도 않고 밥반찬으로 손색이 없네요. 가족들이 계속 집어먹더라구요
콜리플라워 치즈그라탕,"고메버터로 볶아서 만들었다고 써있길래 기대하고 시켰는데, 진짜 부드럽고 콜리플라워 씹히는 맛이 너무 좋네요. 
담백하고 부드러워서 애들 먹기도 좋고, 고급스러운 맛이예요 "
낙지 김치죽 (1인분),"낙지가 조금 잘게썰려있긴해도 진짜 많이 들어있어서 한숟갈뜰때마다 낙지가 가득들어있어 너무좋아요 많이 맵지도 않고... 
뭐 해먹기 귀찮을때 딱인듯"
황태 귀리죽 (1인분),황태귀리죽 진짜 담백하고 든든해서 너무 좋아요 씹는맛도있구요
흑미 시트러스 샐러드 세트,흑미샐러드라고 해서 그냥 그저 그럴줄 알았는데 생각보다 엄청 상큼하고 쫀득하고 포만감도 좋고 엄청 만족했어요 
오리 향채소 불고기 세트,담백하고 간도 적당해요 도시락 사진이랑 거의 똑같이 왔어요 또 주문할 것 같아요
은이버섯 오리주물럭 세트,"맛있어요 사진이랑 거의 똑같이 왔어요. 건강한 맛, 신선해요"
비트 무화과 타히니 샐러드,비트랑 무화과 양념도 너무 상큼하고 씹히는 맛이 너무 좋아요. 고구마랑 곡물이랑 범벅해둔것도 담백하고 상큼하고~ 또 시켜먹고 싶어요
통밀 돈까스,튀김옷이 통밀이라 그런지 느끼하지 않고 담백하네요. 튀김인데도 부담스럽지 않아서 좋아요 
구운채소 곡물 샐러드 세트,최애샐러드에요 채소구이도 맛있고 요즘 적게 먹으려고 하는데 이거 먹음 든든하면서 죄책감도 안들고 좋아요 예쁘게 셋팅해서 먹으려고요 담번에는
꾸지뽕 닭볶음 세트,맛있어요 양도 많고 사진이랑 똑같어요 밥만 해서 한 끼 딱 먹으면 든든
토마토 견과 카레소스,아이들과같이먹기좋았어요 양도 적당하고 맵지도않고 간도 적당했습니다
버터구이 오징어 샐러드 세트,버터구이오징어샐러드라니 처음 먹어봤어요 토핑 얹어 먹으니 사진이랑 거의 비슷하게 토핑도 풍성해요 이게 은근 샐러드랑 잘 어울려서 맛있게 먹었어요
송화버섯 낙지볶음,빨개서 매울줄 알았는데 간도 적당하고 적당히 매콤해서 완전 밥도둑 ㅎㅎ 버섯이랑 낙지도 많이 들어가있어요
토마토 견과 카레소스,토마토 카레라니 원래 먹던 카레맛이랑 다른데 엄청 맛있어요 밥에 비벼먹어도 되고 양파 넣어서 좀 더 끓여먹었더니 더 맛있음 
미트 토마토 파스타,"소스가 자극적이지 않아 5살 아이가 맛있게 잘 먹었습니다~
건강한 재료라서 아이에게 간식으로 주기 너무 좋아요, 추천합니다!!"
비트 무화과 타히니 샐러드,비트가 이렇게 맛있었나요 ㅎㅎ 새콤달콤해서 여자들 취향저격 샐러드네요
문어 카르파쵸 샐러드,이런 이국적인 샐러드는 처음 봐요.. 새롭고 맛있었어요!!!
모둠 해초볶음,미세먼지 많은 날 해조류 반찬으로 가족 건강 챙겨주고 싶은 날 구입해서 잘 먹었습니다 인스턴트에 길들여져 애들이 처음부터 잘 먹진 않았지만 자꾸 반찬으로 올려서 점점 익숙하게 해주려고 합니다 
방풍나물&고구마 스프 (1인분),달콤한데 쌉쌀한 맛이 돌아 느끼하지 않아요. 방풍나물 먹기 쉽지 않은데 건강해진 느낌이에요!!!
미역&조갯살 스프 (1인분),"근사하게 차려 먹고 싶은데 밖에 나가기는 싫은 주말, 이 스프 하나로 빵 좀 곁들여 브런치 식탁을 차렸네요. 초록빛 색깔이 너무 예뻐요! "
스파이시 쉬림프 샐러드,코코넛이 들어가 달달한데 매콤한 쉬림프가 느끼하지 않게 맛을 잡아줘 환상의 콤비네요 샐러드 한끼로 가볍고 맛있게 점심 해결했어요!! 
버터구이 오징어 샐러드 세트,라이트 팩 중에서 버터구이 오징어 제일 맛있었어요!!! 또.. 같이 딸려온 안내지 읽으며 궁금한 점도 해결하고 설명을 자세히 해주니 더 좋더라고요 
탄두리 닭살 샐러드 세트,라이트 팩 중에서 버터구이 오징어 제일 맛있었어요!!! 또.. 같이 딸려온 안내지 읽으며 궁금한 점도 해결하고 설명을 자세히 해주니 더 좋더라고요 
포두부 새우 샐러드 세트,라이트 팩 중에서 버터구이 오징어 제일 맛있었어요!!! 또.. 같이 딸려온 안내지 읽으며 궁금한 점도 해결하고 설명을 자세히 해주니 더 좋더라고요 
버섯 아보카도 샐러드 세트,라이트 팩 중에서 버터구이 오징어 제일 맛있었어요!!! 또.. 같이 딸려온 안내지 읽으며 궁금한 점도 해결하고 설명을 자세히 해주니 더 좋더라고요 
송화버섯 낙지볶음 세트,시어머니가 대구에 계신데 요즘 찾아뵙지도 못하고.. 전화만 드리기 죄송스러웠는데 이거 보내 드렸더니 너무 좋아하시네요 요즘 장보러 나오기도 조심스럽다고 하시는데 이걸로 너무 잘 드셨다고 하셔서 맘이 조금 놓였어요ㅜㅜ
꾸지뽕 닭볶음 세트,시어머니가 대구에 계신데 요즘 찾아뵙지도 못하고.. 전화만 드리기 죄송스러웠는데 이거 보내 드렸더니 너무 좋아하시네요 요즘 장보러 나오기도 조심스럽다고 하시는데 이걸로 너무 잘 드셨다고 하셔서 맘이 조금 놓였어요ㅜㅜ
은이버섯 오리주물럭 세트,시어머니가 대구에 계신데 요즘 찾아뵙지도 못하고.. 전화만 드리기 죄송스러웠는데 이거 보내 드렸더니 너무 좋아하시네요 요즘 장보러 나오기도 조심스럽다고 하시는데 이걸로 너무 잘 드셨다고 하셔서 맘이 조금 놓였어요ㅜㅜ
죽순 생강 소불고기 세트,시어머니가 대구에 계신데 요즘 찾아뵙지도 못하고.. 전화만 드리기 죄송스러웠는데 이거 보내 드렸더니 너무 좋아하시네요 요즘 장보러 나오기도 조심스럽다고 하시는데 이걸로 너무 잘 드셨다고 하셔서 맘이 조금 놓였어요ㅜㅜ
봄나물 오리볶음,봄이라 봄나물 생각이 나서 구입해봤어요 향긋하니 양도 많고 괜찮네요
